,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,MSRPbinned,wheels-awd,wheels-4wd,wheels-fwd,wheels-rwd
586,FIAT,500X,2016,regular unleaded,180.0,4.0,AUTOMATIC,4.0,Compact,4dr SUV,31,22,819,23335,Cheap,0,0,1,0
587,FIAT,500X,2016,regular unleaded,180.0,4.0,AUTOMATIC,4.0,Compact,4dr SUV,31,22,819,22735,Cheap,0,0,1,0
588,FIAT,500X,2016,regular unleaded,180.0,4.0,AUTOMATIC,4.0,Compact,4dr SUV,30,21,819,27035,Cheap,1,0,0,0
589,FIAT,500X,2016,premium unleaded (recommended),160.0,4.0,MANUAL,4.0,Compact,4dr SUV,34,25,819,20000,Cheap,0,0,1,0
590,FIAT,500X,2016,regular unleaded,180.0,4.0,AUTOMATIC,4.0,Compact,4dr SUV,31,22,819,27335,Cheap,0,0,1,0
591,FIAT,500X,2016,regular unleaded,180.0,4.0,AUTOMATIC,4.0,Compact,4dr SUV,30,21,819,25235,Cheap,1,0,0,0
592,FIAT,500X,2017,regular unleaded,180.0,4.0,AUTOMATIC,4.0,Compact,4dr SUV,29,21,819,27035,Cheap,1,0,0,0
593,FIAT,500X,2017,regular unleaded,180.0,4.0,AUTOMATIC,4.0,Compact,4dr SUV,30,22,819,25135,Cheap,0,0,1,0
594,FIAT,500X,2017,regular unleaded,180.0,4.0,AUTOMATIC,4.0,Compact,4dr SUV,29,21,819,25235,Cheap,1,0,0,0
595,FIAT,500X,2017,regular unleaded,180.0,4.0,AUTOMATIC,4.0,Compact,4dr SUV,29,21,819,23890,Cheap,1,0,0,0
596,FIAT,500X,2017,regular unleaded,180.0,4.0,AUTOMATIC,4.0,Compact,4dr SUV,30,22,819,23335,Cheap,0,0,1,0
597,FIAT,500X,2017,premium unleaded (recommended),160.0,4.0,MANUAL,4.0,Compact,4dr SUV,33,25,819,19995,Cheap,0,0,1,0
598,Ferrari,550,2001,premium unleaded (required),485.0,12.0,MANUAL,2.0,Compact,Convertible,12,8,2774,248500,Cheap,0,0,0,1
599,Ferrari,550,2001,premium unleaded (required),485.0,12.0,MANUAL,2.0,Compact,Coupe,12,8,2774,205840,Cheap,0,0,0,1
600,Mercedes-Benz,560-Class,1990,regular unleaded,238.0,8.0,AUTOMATIC,2.0,Large,Coupe,16,12,617,2323,Cheap,0,0,0,1
601,Mercedes-Benz,560-Class,1990,regular unleaded,238.0,8.0,AUTOMATIC,4.0,Large,Sedan,16,12,617,2170,Cheap,0,0,0,1
602,Mercedes-Benz,560-Class,1991,regular unleaded,238.0,8.0,AUTOMATIC,2.0,Large,Coupe,16,12,617,2443,Cheap,0,0,0,1
603,Mercedes-Benz,560-Class,1991,regular unleaded,238.0,8.0,AUTOMATIC,4.0,Large,Sedan,16,12,617,2304,Cheap,0,0,0,1
604,McLaren,570S,2016,premium unleaded (required),562.0,8.0,AUTOMATED_MANUAL,2.0,Compact,Coupe,23,16,416,184900,Cheap,0,0,0,1
605,Ferrari,575M,2002,premium unleaded (required),515.0,12.0,MANUAL,2.0,Compact,Coupe,15,9,2774,214670,Cheap,0,0,0,1
606,Ferrari,575M,2002,premium unleaded (required),515.0,12.0,AUTOMATED_MANUAL,2.0,Compact,Coupe,16,9,2774,224670,Cheap,0,0,0,1
607,Ferrari,575M,2003,premium unleaded (required),515.0,12.0,MANUAL,2.0,Compact,Coupe,15,9,2774,217890,Cheap,0,0,0,1
608,Ferrari,575M,2003,premium unleaded (required),515.0,12.0,AUTOMATED_MANUAL,2.0,Compact,Coupe,16,9,2774,228339,Cheap,0,0,0,1
609,Ferrari,575M,2004,premium unleaded (required),515.0,12.0,AUTOMATED_MANUAL,2.0,Compact,Coupe,16,9,2774,228339,Cheap,0,0,0,1
610,Ferrari,575M,2004,premium unleaded (required),515.0,12.0,MANUAL,2.0,Compact,Coupe,15,9,2774,217890,Cheap,0,0,0,1
611,Maybach,57,2010,premium unleaded (required),543.0,12.0,AUTOMATIC,4.0,Large,Sedan,16,10,67,366000,Cheap,0,0,0,1
612,Maybach,57,2010,premium unleaded (required),631.0,12.0,AUTOMATIC,4.0,Large,Sedan,16,10,67,455500,Cheap,0,0,0,1
613,Maybach,57,2010,premium unleaded (required),604.0,12.0,AUTOMATIC,4.0,Large,Sedan,16,10,67,405500,Cheap,0,0,0,1
614,Maybach,57,2011,premium unleaded (required),543.0,12.0,AUTOMATIC,4.0,Large,Sedan,16,10,67,372500,Cheap,0,0,0,1
615,Maybach,57,2011,premium unleaded (required),620.0,12.0,AUTOMATIC,4.0,Large,Sedan,16,10,67,412000,Cheap,0,0,0,1
616,Maybach,57,2012,premium unleaded (required),543.0,12.0,AUTOMATIC,4.0,Large,Sedan,16,10,67,379050,Cheap,0,0,0,1
617,Maybach,57,2012,premium unleaded (required),620.0,12.0,AUTOMATIC,4.0,Large,Sedan,16,10,67,418950,Cheap,0,0,0,1
618,Ferrari,599,2009,premium unleaded (required),611.0,12.0,AUTOMATED_MANUAL,2.0,Midsize,Coupe,15,11,2774,320580,Cheap,0,0,0,1
619,Ferrari,599,2009,premium unleaded (required),611.0,12.0,MANUAL,2.0,Midsize,Coupe,15,11,2774,310543,Cheap,0,0,0,1
620,Ferrari,599,2010,premium unleaded (required),611.0,12.0,MANUAL,2.0,Midsize,Coupe,15,11,2774,310543,Cheap,0,0,0,1
621,Ferrari,599,2011,premium unleaded (required),611.0,12.0,AUTOMATED_MANUAL,2.0,Midsize,Coupe,15,11,2774,320580,Cheap,0,0,0,1
622,Ferrari,599,2011,premium unleaded (required),661.0,12.0,AUTOMATED_MANUAL,2.0,Midsize,Coupe,15,11,2774,410000,Cheap,0,0,0,1
623,Mazda,5,2013,regular unleaded,157.0,4.0,AUTOMATIC,4.0,Compact,Passenger Minivan,28,22,586,24470,Cheap,0,0,1,0
624,Mazda,5,2013,regular unleaded,157.0,4.0,AUTOMATIC,4.0,Compact,Passenger Minivan,28,22,586,20940,Cheap,0,0,1,0
625,Mazda,5,2013,regular unleaded,157.0,4.0,MANUAL,4.0,Compact,Passenger Minivan,28,21,586,19940,Cheap,0,0,1,0
626,Mazda,5,2013,regular unleaded,157.0,4.0,AUTOMATIC,4.0,Compact,Passenger Minivan,28,22,586,22070,Cheap,0,0,1,0
627,Mazda,5,2014,regular unleaded,157.0,4.0,MANUAL,4.0,Compact,Passenger Minivan,28,21,586,20140,Cheap,0,0,1,0
628,Mazda,5,2014,regular unleaded,157.0,4.0,AUTOMATIC,4.0,Compact,Passenger Minivan,28,22,586,24670,Cheap,0,0,1,0
629,Mazda,5,2014,regular unleaded,157.0,4.0,AUTOMATIC,4.0,Compact,Passenger Minivan,28,22,586,21140,Cheap,0,0,1,0
630,Mazda,5,2014,regular unleaded,157.0,4.0,AUTOMATIC,4.0,Compact,Passenger Minivan,28,22,586,22270,Cheap,0,0,1,0
631,Mazda,5,2015,regular unleaded,157.0,4.0,AUTOMATIC,4.0,Compact,Passenger Minivan,28,21,586,24770,Cheap,0,0,1,0
632,Mazda,5,2015,regular unleaded,157.0,4.0,AUTOMATIC,4.0,Compact,Passenger Minivan,28,21,586,22370,Cheap,0,0,1,0
633,Mazda,5,2015,regular unleaded,157.0,4.0,AUTOMATIC,4.0,Compact,Passenger Minivan,28,21,586,21240,Cheap,0,0,1,0
634,BMW,6 Series Gran Coupe,2015,premium unleaded (required),445.0,8.0,AUTOMATIC,4.0,Large,Sedan,24,16,3916,92600,Cheap,1,0,0,0
635,BMW,6 Series Gran Coupe,2015,premium unleaded (required),315.0,6.0,AUTOMATIC,4.0,Large,Sedan,29,20,3916,81300,Cheap,1,0,0,0
636,BMW,6 Series Gran Coupe,2015,premium unleaded (required),315.0,6.0,AUTOMATIC,4.0,Large,Sedan,31,20,3916,78300,Cheap,0,0,0,1
637,BMW,6 Series Gran Coupe,2015,premium unleaded (required),445.0,8.0,AUTOMATIC,4.0,Large,Sedan,25,17,3916,89600,Cheap,0,0,0,1
638,BMW,6 Series Gran Coupe,2016,premium unleaded (required),445.0,8.0,AUTOMATIC,4.0,Large,Sedan,24,15,3916,93900,Cheap,1,0,0,0
639,BMW,6 Series Gran Coupe,2016,premium unleaded (required),315.0,6.0,AUTOMATIC,4.0,Large,Sedan,29,20,3916,82500,Cheap,1,0,0,0
640,BMW,6 Series Gran Coupe,2016,premium unleaded (required),445.0,8.0,AUTOMATIC,4.0,Large,Sedan,25,17,3916,90900,Cheap,0,0,0,1
641,BMW,6 Series Gran Coupe,2016,premium unleaded (required),315.0,6.0,AUTOMATIC,4.0,Large,Sedan,31,20,3916,79500,Cheap,0,0,0,1
642,BMW,6 Series Gran Coupe,2017,premium unleaded (required),445.0,8.0,AUTOMATIC,4.0,Large,Sedan,24,17,3916,91200,Cheap,0,0,0,1
643,BMW,6 Series Gran Coupe,2017,premium unleaded (required),315.0,6.0,AUTOMATIC,4.0,Large,Sedan,28,19,3916,82800,Cheap,1,0,0,0
644,BMW,6 Series Gran Coupe,2017,premium unleaded (required),445.0,8.0,AUTOMATIC,4.0,Large,Sedan,24,15,3916,94200,Cheap,1,0,0,0
645,BMW,6 Series Gran Coupe,2017,premium unleaded (required),315.0,6.0,AUTOMATIC,4.0,Large,Sedan,29,20,3916,79800,Cheap,0,0,0,1
646,BMW,6 Series,2015,premium unleaded (required),445.0,8.0,AUTOMATIC,2.0,Midsize,Convertible,25,17,3916,94900,Cheap,0,0,0,1
647,BMW,6 Series,2015,premium unleaded (required),315.0,6.0,AUTOMATIC,2.0,Midsize,Convertible,29,20,3916,86600,Cheap,1,0,0,0
648,BMW,6 Series,2015,premium unleaded (required),315.0,6.0,AUTOMATIC,2.0,Midsize,Coupe,29,20,3916,79100,Cheap,1,0,0,0
649,BMW,6 Series,2015,premium unleaded (required),315.0,6.0,AUTOMATIC,2.0,Midsize,Coupe,32,21,3916,76100,Cheap,0,0,0,1
650,BMW,6 Series,2015,premium unleaded (required),445.0,8.0,AUTOMATIC,2.0,Midsize,Coupe,25,16,3916,90400,Cheap,1,0,0,0
651,BMW,6 Series,2015,premium unleaded (required),315.0,6.0,AUTOMATIC,2.0,Midsize,Convertible,31,20,3916,83600,Cheap,0,0,0,1
652,BMW,6 Series,2015,premium unleaded (required),445.0,8.0,AUTOMATIC,2.0,Midsize,Coupe,25,17,3916,87400,Cheap,0,0,0,1
653,BMW,6 Series,2015,premium unleaded (required),445.0,8.0,AUTOMATIC,2.0,Midsize,Convertible,24,16,3916,97900,Cheap,1,0,0,0
654,BMW,6 Series,2016,premium unleaded (required),315.0,6.0,AUTOMATIC,2.0,Midsize,Convertible,29,20,3916,87800,Cheap,1,0,0,0
655,BMW,6 Series,2016,premium unleaded (required),315.0,6.0,AUTOMATIC,2.0,Midsize,Coupe,31,20,3916,77300,Cheap,0,0,0,1
656,BMW,6 Series,2016,premium unleaded (required),445.0,8.0,AUTOMATIC,2.0,Midsize,Convertible,24,15,3916,99200,Cheap,1,0,0,0
657,BMW,6 Series,2016,premium unleaded (required),445.0,8.0,AUTOMATIC,2.0,Midsize,Convertible,25,17,3916,96200,Cheap,0,0,0,1
658,BMW,6 Series,2016,premium unleaded (required),315.0,6.0,AUTOMATIC,2.0,Midsize,Coupe,29,20,3916,80300,Cheap,1,0,0,0
659,BMW,6 Series,2016,premium unleaded (required),315.0,6.0,AUTOMATIC,2.0,Midsize,Convertible,31,20,3916,84800,Cheap,0,0,0,1
660,BMW,6 Series,2016,premium unleaded (required),445.0,8.0,AUTOMATIC,2.0,Midsize,Coupe,25,16,3916,91700,Cheap,1,0,0,0
661,BMW,6 Series,2016,premium unleaded (required),445.0,8.0,AUTOMATIC,2.0,Midsize,Coupe,25,17,3916,88700,Cheap,0,0,0,1
662,BMW,6 Series,2017,premium unleaded (required),445.0,8.0,AUTOMATIC,2.0,Midsize,Coupe,24,16,3916,92000,Cheap,1,0,0,0
663,BMW,6 Series,2017,premium unleaded (required),315.0,6.0,AUTOMATIC,2.0,Midsize,Coupe,30,21,3916,77600,Cheap,0,0,0,1
664,BMW,6 Series,2017,premium unleaded (required),445.0,8.0,AUTOMATIC,2.0,Midsize,Coupe,24,17,3916,89000,Cheap,0,0,0,1
665,BMW,6 Series,2017,premium unleaded (required),315.0,6.0,AUTOMATIC,2.0,Midsize,Coupe,28,19,3916,80600,Cheap,1,0,0,0
666,BMW,6 Series,2017,premium unleaded (required),315.0,6.0,AUTOMATIC,2.0,Midsize,Convertible,29,20,3916,85100,Cheap,0,0,0,1
667,BMW,6 Series,2017,premium unleaded (required),315.0,6.0,AUTOMATIC,2.0,Midsize,Convertible,28,19,3916,88100,Cheap,1,0,0,0
668,BMW,6 Series,2017,premium unleaded (required),445.0,8.0,AUTOMATIC,2.0,Midsize,Convertible,24,17,3916,96500,Cheap,0,0,0,1
669,BMW,6 Series,2017,premium unleaded (required),445.0,8.0,AUTOMATIC,2.0,Midsize,Convertible,24,15,3916,99500,Cheap,1,0,0,0
670,Mercedes-Benz,600-Class,1992,regular unleaded,402.0,12.0,AUTOMATIC,4.0,Large,Sedan,14,10,617,2960,Cheap,0,0,0,1
671,Mercedes-Benz,600-Class,1993,regular unleaded,389.0,12.0,AUTOMATIC,4.0,Large,Sedan,15,11,617,3108,Cheap,0,0,0,1
672,Mercedes-Benz,600-Class,1993,regular unleaded,389.0,12.0,AUTOMATIC,2.0,Compact,Convertible,16,12,617,4623,Cheap,0,0,0,1
673,Mercedes-Benz,600-Class,1993,regular unleaded,389.0,12.0,AUTOMATIC,2.0,Large,Coupe,15,11,617,3211,Cheap,0,0,0,1
674,Pontiac,6000,1990,regular unleaded,140.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,27,17,210,2000,Cheap,0,0,1,0
675,Pontiac,6000,1990,regular unleaded,110.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,29,20,210,2000,Cheap,0,0,1,0
678,Pontiac,6000,1990,regular unleaded,140.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,27,17,210,2000,Cheap,1,0,0,0
679,Pontiac,6000,1991,regular unleaded,140.0,6.0,AUTOMATIC,4.0,Midsize,Wagon,28,17,210,2000,Cheap,0,0,1,0
680,Pontiac,6000,1991,regular unleaded,140.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,28,17,210,2000,Cheap,0,0,1,0
681,Pontiac,6000,1991,regular unleaded,110.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,28,19,210,2000,Cheap,0,0,1,0
682,Ferrari,612 Scaglietti,2009,premium unleaded (required),532.0,12.0,AUTOMATED_MANUAL,2.0,Large,Coupe,16,9,2774,313088,Cheap,0,0,0,1
683,Ferrari,612 Scaglietti,2010,premium unleaded (required),532.0,12.0,AUTOMATED_MANUAL,2.0,Large,Coupe,16,9,2774,313088,Cheap,0,0,0,1
684,Ferrari,612 Scaglietti,2011,premium unleaded (required),532.0,12.0,AUTOMATED_MANUAL,2.0,Large,Coupe,16,9,2774,313088,Cheap,0,0,0,1
685,Mazda,626,2000,regular unleaded,170.0,6.0,MANUAL,4.0,Midsize,Sedan,25,19,586,2080,Cheap,0,0,1,0
686,Mazda,626,2000,regular unleaded,170.0,6.0,MANUAL,4.0,Midsize,Sedan,25,19,586,2234,Cheap,0,0,1,0
687,Mazda,626,2000,regular unleaded,130.0,4.0,MANUAL,4.0,Midsize,Sedan,29,23,586,2000,Cheap,0,0,1,0
688,Mazda,626,2000,regular unleaded,130.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,25,19,586,2146,Cheap,0,0,1,0
689,Mazda,626,2001,premium unleaded (required),165.0,6.0,MANUAL,4.0,Midsize,Sedan,25,19,586,22935,Cheap,0,0,1,0
690,Mazda,626,2001,premium unleaded (required),165.0,6.0,MANUAL,4.0,Midsize,Sedan,25,19,586,19935,Cheap,0,0,1,0
691,Mazda,626,2001,regular unleaded,125.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,25,19,586,20935,Cheap,0,0,1,0
692,Mazda,626,2001,regular unleaded,125.0,4.0,MANUAL,4.0,Midsize,Sedan,29,23,586,18735,Cheap,0,0,1,0
693,Mazda,626,2002,premium unleaded (required),165.0,6.0,MANUAL,4.0,Midsize,Sedan,25,19,586,19985,Cheap,0,0,1,0
694,Mazda,626,2002,regular unleaded,125.0,4.0,MANUAL,4.0,Midsize,Sedan,29,23,586,18785,Cheap,0,0,1,0
695,Mazda,626,2002,premium unleaded (required),165.0,6.0,MANUAL,4.0,Midsize,Sedan,25,19,586,21885,Cheap,0,0,1,0
696,Maybach,62,2010,premium unleaded (required),604.0,12.0,AUTOMATIC,4.0,Large,Sedan,16,10,67,456500,Cheap,0,0,0,1
697,Maybach,62,2010,premium unleaded (required),543.0,12.0,AUTOMATIC,4.0,Large,Sedan,16,10,67,417000,Cheap,0,0,0,1
699,Maybach,62,2011,premium unleaded (required),543.0,12.0,AUTOMATIC,4.0,Large,Sedan,16,10,67,423500,Cheap,0,0,0,1
700,Maybach,62,2011,premium unleaded (required),620.0,12.0,AUTOMATIC,4.0,Large,Sedan,16,10,67,463000,Cheap,0,0,0,1
701,Maybach,62,2012,premium unleaded (required),620.0,12.0,AUTOMATIC,4.0,Large,Sedan,16,10,67,470350,Cheap,0,0,0,1
702,Maybach,62,2012,premium unleaded (required),543.0,12.0,AUTOMATIC,4.0,Large,Sedan,16,10,67,430450,Cheap,0,0,0,1
703,McLaren,650S Coupe,2015,premium unleaded (required),641.0,8.0,AUTOMATED_MANUAL,2.0,Compact,Coupe,22,16,416,265500,Cheap,0,0,0,1
704,McLaren,650S Spider,2015,premium unleaded (required),641.0,8.0,AUTOMATED_MANUAL,2.0,Compact,Convertible,22,16,416,280225,Cheap,0,0,0,1
705,Mazda,6,2015,regular unleaded,184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,38,26,586,24895,Cheap,0,0,1,0
706,Mazda,6,2015,regular unleaded,184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,38,26,586,22895,Cheap,0,0,1,0
707,Mazda,6,2015,regular unleaded,184.0,4.0,MANUAL,4.0,Midsize,Sedan,37,25,586,23845,Cheap,0,0,1,0
708,Mazda,6,2015,regular unleaded,184.0,4.0,MANUAL,4.0,Midsize,Sedan,37,25,586,21190,Cheap,0,0,1,0
709,Mazda,6,2015,regular unleaded,184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,40,28,586,29895,Cheap,0,0,1,0
710,Mazda,6,2016,regular unleaded,184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,38,26,586,22995,Cheap,0,0,1,0
711,Mazda,6,2016,regular unleaded,184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,38,26,586,24995,Cheap,0,0,1,0
712,Mazda,6,2016,regular unleaded,184.0,4.0,MANUAL,4.0,Midsize,Sedan,37,25,586,21495,Cheap,0,0,1,0
713,Mazda,6,2016,regular unleaded,184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,38,26,586,30195,Cheap,0,0,1,0
714,Mazda,6,2016,regular unleaded,184.0,4.0,MANUAL,4.0,Midsize,Sedan,37,25,586,23945,Cheap,0,0,1,0
715,Mazda,6,2017,regular unleaded,184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,35,26,586,30695,Cheap,0,0,1,0
716,Mazda,6,2017,regular unleaded,184.0,4.0,MANUAL,4.0,Midsize,Sedan,34,24,586,21945,Cheap,0,0,1,0
717,Mazda,6,2017,regular unleaded,184.0,4.0,MANUAL,4.0,Midsize,Sedan,34,24,586,24195,Cheap,0,0,1,0
718,Mazda,6,2017,regular unleaded,184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,35,26,586,22995,Cheap,0,0,1,0
719,Mazda,6,2017,regular unleaded,184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,35,26,586,25245,Cheap,0,0,1,0
720,BMW,7 Series,2015,premium unleaded (required),535.0,12.0,AUTOMATIC,4.0,Large,Sedan,20,13,3916,141200,Cheap,0,0,0,1
721,BMW,7 Series,2015,premium unleaded (required),315.0,6.0,AUTOMATIC,4.0,Large,Sedan,29,19,3916,78000,Cheap,0,0,0,1
722,BMW,7 Series,2015,premium unleaded (required),445.0,8.0,AUTOMATIC,4.0,Large,Sedan,25,16,3916,91000,Cheap,0,0,0,1
723,BMW,7 Series,2015,premium unleaded (required),445.0,8.0,AUTOMATIC,4.0,Large,Sedan,24,16,3916,94000,Cheap,1,0,0,0
724,BMW,7 Series,2015,premium unleaded (required),315.0,6.0,AUTOMATIC,4.0,Large,Sedan,28,19,3916,81000,Cheap,1,0,0,0
725,BMW,7 Series,2015,premium unleaded (required),315.0,6.0,AUTOMATIC,4.0,Large,Sedan,29,19,3916,74000,Cheap,0,0,0,1
726,BMW,7 Series,2015,premium unleaded (required),445.0,8.0,AUTOMATIC,4.0,Large,Sedan,25,17,3916,87300,Cheap,0,0,0,1
727,BMW,7 Series,2015,premium unleaded (required),445.0,8.0,AUTOMATIC,4.0,Large,Sedan,24,16,3916,90300,Cheap,1,0,0,0
728,BMW,7 Series,2015,diesel,255.0,6.0,AUTOMATIC,4.0,Large,Sedan,31,23,3916,82500,Cheap,1,0,0,0
729,BMW,7 Series,2016,premium unleaded (required),445.0,8.0,AUTOMATIC,4.0,Large,Sedan,25,17,3916,94400,Cheap,0,0,0,1
730,BMW,7 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,4.0,Large,Sedan,29,21,3916,81300,Cheap,0,0,0,1
731,BMW,7 Series,2016,premium unleaded (required),445.0,8.0,AUTOMATIC,4.0,Large,Sedan,25,16,3916,97400,Cheap,1,0,0,0
732,BMW,7 Series,2017,premium unleaded (required),445.0,8.0,AUTOMATIC,4.0,Large,Sedan,26,17,3916,94600,Cheap,0,0,0,1
733,BMW,7 Series,2017,premium unleaded (required),445.0,8.0,AUTOMATIC,4.0,Large,Sedan,25,16,3916,97600,Cheap,1,0,0,0
734,BMW,7 Series,2017,premium unleaded (required),320.0,6.0,AUTOMATIC,4.0,Large,Sedan,28,19,3916,84500,Cheap,1,0,0,0
735,BMW,7 Series,2017,premium unleaded (required),320.0,6.0,AUTOMATIC,4.0,Large,Sedan,29,21,3916,81500,Cheap,0,0,0,1
736,Porsche,718 Cayman,2017,premium unleaded (required),300.0,4.0,MANUAL,2.0,Compact,Coupe,28,21,1715,53900,Cheap,0,0,0,1
737,Porsche,718 Cayman,2017,premium unleaded (required),350.0,4.0,MANUAL,2.0,Compact,Coupe,26,20,1715,66300,Cheap,0,0,0,1
739,Volvo,740,1990,regular unleaded,153.0,4.0,MANUAL,4.0,Midsize,Wagon,26,19,870,2000,Cheap,0,0,0,1
743,Volvo,740,1990,regular unleaded,153.0,4.0,MANUAL,4.0,Midsize,Sedan,23,18,870,2000,Cheap,0,0,0,1
744,Volvo,740,1991,regular unleaded,162.0,4.0,AUTOMATIC,4.0,Midsize,Wagon,20,17,870,2000,Cheap,0,0,0,1
745,Volvo,740,1991,regular unleaded,162.0,4.0,MANUAL,4.0,Midsize,Wagon,24,18,870,2000,Cheap,0,0,0,1
746,Volvo,740,1991,regular unleaded,114.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,24,18,870,2000,Cheap,0,0,0,1
747,Volvo,740,1991,regular unleaded,162.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,20,17,870,2000,Cheap,0,0,0,1
748,Volvo,740,1991,regular unleaded,162.0,4.0,MANUAL,4.0,Midsize,Sedan,24,18,870,2000,Cheap,0,0,0,1
749,Volvo,740,1991,regular unleaded,114.0,4.0,AUTOMATIC,4.0,Midsize,Wagon,24,18,870,2000,Cheap,0,0,0,1
750,Volvo,740,1992,regular unleaded,162.0,4.0,AUTOMATIC,4.0,Midsize,Wagon,20,17,870,2000,Cheap,0,0,0,1
752,Volvo,740,1992,regular unleaded,114.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,26,18,870,2000,Cheap,0,0,0,1
754,Volvo,760,1990,regular unleaded,144.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,19,15,870,2000,Cheap,0,0,0,1
755,Volvo,760,1990,regular unleaded,162.0,4.0,AUTOMATIC,4.0,Midsize,Wagon,20,16,870,2000,Cheap,0,0,0,1
756,Volvo,760,1990,regular unleaded,162.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,20,16,870,2000,Cheap,0,0,0,1
757,Volvo,780,1990,regular unleaded,188.0,4.0,AUTOMATIC,2.0,Midsize,Coupe,20,16,870,2000,Cheap,0,0,0,1
758,Volvo,780,1990,regular unleaded,144.0,6.0,AUTOMATIC,2.0,Midsize,Coupe,19,15,870,2000,Cheap,0,0,0,1
759,BMW,8 Series,1995,regular unleaded,282.0,8.0,AUTOMATIC,2.0,Midsize,Coupe,22,15,3916,4784,Cheap,0,0,0,1
760,BMW,8 Series,1995,regular unleaded,322.0,12.0,AUTOMATIC,2.0,Midsize,Coupe,19,12,3916,5858,Cheap,0,0,0,1
761,BMW,8 Series,1995,regular unleaded,372.0,12.0,MANUAL,2.0,Midsize,Coupe,18,10,3916,8488,Cheap,0,0,0,1
762,BMW,8 Series,1996,regular unleaded,322.0,12.0,AUTOMATIC,2.0,Midsize,Coupe,19,12,3916,6954,Cheap,0,0,0,1
763,BMW,8 Series,1996,regular unleaded,282.0,8.0,AUTOMATIC,2.0,Midsize,Coupe,19,14,3916,5680,Cheap,0,0,0,1
764,BMW,8 Series,1997,regular unleaded,322.0,12.0,AUTOMATIC,2.0,Midsize,Coupe,19,12,3916,7624,Cheap,0,0,0,1
765,BMW,8 Series,1997,regular unleaded,282.0,8.0,AUTOMATIC,2.0,Midsize,Coupe,19,14,3916,6693,Cheap,0,0,0,1
766,Audi,80,1990,regular unleaded,108.0,4.0,MANUAL,4.0,Compact,Sedan,28,19,3105,2000,Cheap,0,0,1,0
767,Audi,80,1990,regular unleaded,130.0,5.0,MANUAL,4.0,Compact,Sedan,22,16,3105,2000,Cheap,1,0,0,0
768,Audi,80,1991,regular unleaded,130.0,5.0,MANUAL,4.0,Compact,Sedan,24,18,3105,2000,Cheap,0,0,1,0
769,Audi,80,1991,regular unleaded,130.0,5.0,MANUAL,4.0,Compact,Sedan,22,16,3105,2000,Cheap,1,0,0,0
770,Audi,80,1992,regular unleaded,130.0,5.0,MANUAL,4.0,Compact,Sedan,24,18,3105,2000,Cheap,0,0,1,0
771,Audi,80,1992,regular unleaded,130.0,5.0,MANUAL,4.0,Compact,Sedan,22,16,3105,2000,Cheap,1,0,0,0
772,Volvo,850,1995,regular unleaded,222.0,5.0,AUTOMATIC,4.0,Midsize,Wagon,24,17,870,2000,Cheap,0,0,1,0
774,Volvo,850,1995,regular unleaded,240.0,5.0,AUTOMATIC,4.0,Midsize,Sedan,24,17,870,2000,Cheap,0,0,1,0
777,Volvo,850,1995,regular unleaded,222.0,5.0,AUTOMATIC,4.0,Midsize,Sedan,24,17,870,2000,Cheap,0,0,1,0
779,Volvo,850,1995,regular unleaded,240.0,5.0,AUTOMATIC,4.0,Midsize,Wagon,24,17,870,2000,Cheap,0,0,1,0
784,Volvo,850,1996,regular unleaded,240.0,5.0,AUTOMATIC,4.0,Midsize,Sedan,24,17,870,2000,Cheap,0,0,1,0
786,Volvo,850,1996,regular unleaded,240.0,5.0,AUTOMATIC,4.0,Midsize,Wagon,24,17,870,2000,Cheap,0,0,1,0
790,Volvo,850,1997,regular unleaded,168.0,5.0,MANUAL,4.0,Midsize,Sedan,26,18,870,2000,Cheap,0,0,1,0
791,Volvo,850,1997,regular unleaded,168.0,5.0,MANUAL,4.0,Midsize,Wagon,26,18,870,2000,Cheap,0,0,1,0
792,Volvo,850,1997,regular unleaded,240.0,5.0,AUTOMATIC,4.0,Midsize,Sedan,24,17,870,2000,Cheap,0,0,1,0
